title,company,summary,job_location,post_date,salary,availability
Lead Software Development Engineer & Mentor,"NextUp Solutions, LLC","As a mentor, you will have a tremendous impact on the future of motivated undergraduates preparing to enter the workforce.","Hybrid remote in Charlotte, NC",Posted11 days ago,Estimated $86.2K - $109K a year,Full-time +1
Cloud Engineer,Vanguard,"Develop and build AWS cloud native stacks using Cloud Formation and development languages such as Python, NodeJS and Java.","Charlotte, NC+1 location",Posted30+ days ago,None,None
"newStaff Engineer (EUC), Advanced Research & Development - Oppo...",VMware,"Working in collaboration with our CTO, product teams, partners, and customers, you will be helping to identify, research, prototype, and evaluate future…","Charlotte, NC",Posted5 days ago,None,Full-time
"Python/Java/C++, SQL/PL Feature Lead - Risk Technology",Bank of America,Lead Software developer- This role requires an experienced software developer lead who is looking forward to work with XVA Counterparty Portfolio Management…,"Charlotte, NC 28202 (First Ward area)",Posted13 days ago,None,Full-time
Principal Reliability Lead,"Amazon Web Services, Inc.",Represent the voice for developers internally and influence our AWS Professional Services offerings and AWS product strategy for developers by working with AWS…,"Charlotte, NC",Posted19 days ago,None,Full-time
DevOps Engineer - Remote - USA,FullStack Labs,"Our client Net Promoter Score of 64, twice the industry average.
Cloud Engineering (cloud computing) experience with AWS, Azure, and/or GCP.","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
"Senior Software Engineer, iOS",Jumpcloud,"You’ll be mostly responsible for working with iOS-based clients, however, an interest and knowledge of other languages and systems is very interesting to us as…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $132K - $167K a year,Full-time
newAVP - Software Engineering,Moody's Investors Service,A successful candidate will be accountable for managing the overall quality and timely delivery of application support services; improve stability &…,"Charlotte, NC",Posted3 days ago,None,Full-time
DevOps Engineer (Remote Opportunity),CustomInk,We are passionate about trying new things and we follow through with 10% time and hosting regularly scheduled full-team hack-a-thons.,"Remote in Charlotte, NC",Posted30+ days ago,Estimated $113K - $143K a year,Full-time
Python Developer,Infosys,"Infosys is seeking Python Developers with preferred experience in Big data technologies.
The position will primarily be responsible to interface with key…","Charlotte, NC 28277 (Ballantyne West area)",Posted26 days ago,None,None
Software Engineer - Micro/Private/Bare-Metal Cloud,Canonical - Jobs,Applicants should be passionate about the future of Ubuntu and be able to show technical leadership with a globally distributed team of engineers who share that…,"Remote in Charlotte, NC",Posted17 days ago,Estimated $81.5K - $103K a year,None
Full Stack Software Engineer,4Insite,"Those tools help facilities teams and service providers manage scope, coverage & quality while increasing overall communication and delivering job-specific…","Charlotte, NC",Posted30+ days ago,Estimated $100K - $127K a year,Full-time
Software Engineer - Python - Kubernetes,Canonical - Jobs,"You are a python programmer with interest or experience in golang.
On the Kubernetes team you will gain experience with the latest features in Kubernetes and…","Remote in Charlotte, NC+5 locations",Posted30+ days ago,Estimated $119K - $150K a year,None
Software Engineer - Cloud Images,Canonical - Jobs,"Your time will be split between build system development (using Python, Jenkins and shell), implementation of cloud-related features within Ubuntu Server itself…","Remote in Charlotte, NC+1 location",Posted30+ days ago,Estimated $108K - $137K a year,None
"Engineering Manager - Public Cloud, Python, Golang",Canonical - Jobs,As an engineering manager you need to bring both technical and management skills to the leadership of your team.,"Remote in Charlotte, NC",Posted23 days ago,Estimated $125K - $158K a year,None
"Full Stack Engineer, Integrations",Jumpcloud,"4+ years of industry/production programming experience.
Skilled in backend service development, ideally using Golang and/or NodeJS, or other languages (Java,…","Remote in Charlotte, NC",Posted30+ days ago,Estimated $104K - $131K a year,Full-time
"Cloud Engineer, IT Transformation - (Open to remote worker)",BAE Systems,"This role will function in BAE Systems IT Transformation organization, which reports to the VP of IT Transformation and will collaborate with BAE Systems IT…","Remote in Charlotte, NC 28277",Posted30+ days ago,None,Full-time
Software Engineer II,Windstream Communications,"This position demands a self-starter who is comfortable engaging architects, IT sponsors, business partners, and peer developers to achieve goals working across…","Charlotte, NC",Posted24 days ago,None,Full-time
Sr Software Engineer in Test - Opportunity for Working Remot...,VMware,"Design and develop test automation for different modules of the product using python / java / bash.
You will be working on automating build and release…","Temporarily Remote in Charlotte, NC+2 locations",Posted30+ days ago,None,Full-time
newDevOps Engineer,Bank of America,"This position is for a DevOps Engineer role within a diverse cross-functional team.
Collaborate with application development teams and provide operational…","Charlotte, NC 28202 (Third Ward area)+1 location",Posted6 days ago,None,Full-time
Security Software Engineer - Opportunity for Working Remotel...,VMware,"We are looking for an experienced software developer to join our team as Sr Information Security Software Engineer.
These products must perform at scale.","Remote in Charlotte, NC+1 location",Posted30+ days ago,None,Full-time
DevOps Engineer,ZM Financial Systems,"Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.","Charlotte, NC",Posted30+ days ago,Estimated $108K - $136K a year,Full-time
Cloud Engineer,Ally Financial,"Partners with cloud engineers, information security, core infrastructure teams and application developers to enable agility through best-in-class automation and…","Charlotte, NC+2 locations",Posted30+ days ago,None,Full-time
Full-Stack Software Engineer,WELLS FARGO BANK,Wells Fargo is seeking a Full Stack Software Engineer Resource to work within an agile engineering team supporting technology solutions development across…,"Charlotte, NC+3 locations",Posted9 days ago,None,Full-time
Middleware Engineer - Core Technology Infrastructure,Bank of America,"The Middleware Engineer will lead end-to-end and administration duties for critical banking platforms, delivering middleware infrastructure for enterprise…","Charlotte, NC 28202 (Third Ward area)",Posted30+ days ago,None,Full-time
"AVP, Software Engineering (.NET)",LPL Financial,"You will be implementing reusable secure design patterns for multi-channel applications including mobile and voice, capable of operating at cloud scale, along…","Remote in Fort Mill, SC 29715",Posted11 days ago,None,None
"Cloud Engineer - (Remote) - Charlotte, NC area ONLY",Fidelity Investments,"You’ll have full access to virtual training and learning opportunities, plus dynamic working resources to help you stay connected.","Charlotte, NC 28277 (Piper Glen Estates area)",Posted30+ days ago,None,Full-time
Principal Reliability Lead,"Amazon Web Services, Inc.",Represent the voice for developers internally and influence our AWS Professional Services offerings and AWS product strategy for developers by working with AWS…,"Charlotte, NC",Posted19 days ago,None,Full-time
Full Stack Software Engineer,4Insite,"Those tools help facilities teams and service providers manage scope, coverage & quality while increasing overall communication and delivering job-specific…","Charlotte, NC",Posted30+ days ago,Estimated $100K - $127K a year,Full-time
